Variable,Item/Scale: Subscale
Q1,How well can you speak English?
Q2,How old are you?
Q3,What is your gender identity?
Q4,What is your annual income?
Q5,What is your occupation?
Q6_1,Meaning in Life: Global Meaning (item 1)
Q6_2,Meaning in Life: Global Meaning (item 2)
Q6_3,Meaning in Life: Global Meaning (item 3)
Q6_4,Meaning in Life: Global Meaning (item 4)
Q7_1,Meaning in Life: Mattering (item 1)
Q7_2,Meaning in Life: Mattering (item 2)
Q7_3,Meaning in Life: Mattering (item 3)
Q7_4,Meaning in Life: Mattering (item 4)
Q8_1,Meaning in Life: Coherence (item 1)
Q8_2,Meaning in Life: Coherence (item 2)
Q8_3,Meaning in Life: Coherence (item 3)
Q8_4,Meaning in Life: Coherence (item 4)
Q9_1,Meaning in Life: Purpose (item 1)
Q9_2,Meaning in Life: Purpose (item 2)
Q9_3,Meaning in Life: Purpose (item 3)
Q9_4,Meaning in Life: Purpose (item 4)
Q10_1,Symbolic Immortality (item 1)
Q10_2,Symbolic Immortality (item 2)
Q11_1,Belonging (item 1)
Q11_2,Belonging (item 2)
Q11_3,Belonging (item 3)
Q11_4,Belonging (item 4)
Q11_5,Belonging (item 5)
Q11_6,Belonging (item 6)
Q11_7,Belonging (item 7)
Q11_8,Belonging (item 8)
Q11_9,Belonging (item 9)
Q11_10,Belonging (item 10)
Q11_11,Belonging (item 11)
Q11_12,Belonging (item 12)
